id	occurrences	char	shape_hex
g0	11662	理	6abffcbfbbac2cbbac2cbffcbfb3ac6ebffc2c6ba82ebffcbf6ba824aba900fffe000000
g1	10098	出	002c002c2c382c2c382eaeb82ffff8002c00382c2c382c2c3aaeac3ffffc38002c000000
g2	9868	実	002c00bffffebaaeae6ffff90aaea00ffff00aaea03ffffc2afba86bd2e92e00b8000000
g3	8982	監	2aa5803ffae93ae7fe3abb803ffaa93ae6fe2aa4002ffff82eebb86eebb9bffffe000000
g4	8916	面	6aaaa9bffffe00b4003ffffc3aebac3affac3aebac3affac3aebac3ffffc3aaaac000000
g5	8872	督	0ba6a80ba6acbffbb87ba2f46a6b6d0ffff00eaab00eaab00ffff00eaab00eaab0000000
g6	8132	画	bffffe6aaea93bffec3bacec3bffec3baeec3baeec3bffec3aaaac3ffffc38002c000000
g7	7904	充	002c003ffffc2aeaa801d0600286b42fffec1ae78001e38002d3896f43ae3902fd000000
g8	7882	処	0d06a01e0bf02ffbb07eebb0bcebb02eebb40bceba0b9d3c1fd4147efffd242aa8000000
g9	6870	植	0e6ae90ebffe3fa6e82ebbfc2fbbac3ffbacbebbfc2ebbac0eb6a80ebffe0ebaa9000000
g10	6798	何	0a6aa90ebffe2d00383caa38bcff383ceb382ceb382cff382c00382c01b82c00f4000000
g11	6784	当	0038002838281e38b40779d03ffff82aaab81aaab82ffff80000383ffff82aaab8000000
g12	6246	現	6a7ffcbfbaac0e3ffc0e3aacbfbffc6e7aac0e3ffc0e6ee8bf9ee9287cee0024bd000000
g13	5652	成	000ea01aaeb82ffffc2c0e002eab342ffbb42cb3e028b2d43af7e9b5afbd200d78000000
g14	5570	思	2ffff82eaeb82eaeb82eaeb82eaeb82ffff80198042ade282ec4ad7aeaed21ffd4000000
g15	5278	制	26c02c3ffaecbae6ec6aeaecbffeec2aeaec3aeeec3aeeec3aec2c3ae8ac02c0b8000000
g16	5172	新	0b06b8bffbe97aeb006eeba9bffbfe6bab38bffb381fdb387fab387b1e381b0638000000
g17	5002	速	25aba87afffc28aba400ebb868ebb8bcafe42cbfe42deb782e4610bbfffd20aaa8000000
g18	4874	振	0e3ffe0e3aa9bfbaa86e7bfc0e38000fbffebe7bb96e3bba0e77b86eb7ed3d2b88000000
g19	4616	私	6ac2807fd2c00b0380bfe3806f97401f8b102feb38bb4e2c2b0ebd0b7fee0b2908000000
g20	4598	色	03aa800bffc02e07807ffff82eaeb82c2c382ffff82eaaa42c00092eaaae1ffffd000000
g21	4522	分	00d70002d7800b82e07e00bd2aaaa80fffe000b0e000a0e001e0e01b8ae00e4bd0000000
g22	4366	司	2aaaa83ffffc00002c2fffac1aaa6c0aaa2c0fff2c0eab2c0fff2c0902ac0002f8000000
